url,id,make,model,price,year,type,status,mileage,trim,scraped_at,address,city,state,zip,mpg_city,mpg_hwy,cylinders_count,engine,horsepower,torque,fuel_type,drivetrain,color,transmission,doors,seats,vin,stock_number,curb_weight,msrp,displacement,transmission_type,depreciation_rate,mpg_combined
https://www.carvana.com/vehicle/1959028,1959028,Mitsubishi,Outlander,22990,2017,SUV,Available,34141,SE Sport Utility 4D,2021-10-09 13:35:17,1951 Morgan Rd,Bessemer,AL,35022,25.0,30.0,4.0,"4-Cyl, 2.4 Liter",,,Gas,2WD,Black,"Automatic, CVT",4,7,JA4AD3A33HZ070323,2001227816,3373.0,25490,2.4,automatic,-2.54765726104621,27.027027027027025
https://www.carvana.com/vehicle/2003497,2003497,Toyota,Yaris,14990,2015,Sedan,Available,81080,L Hatchback Sedan 4D,2021-10-09 13:35:19,1925 Concord Pkwy S,Concord,NC,28027,30.0,36.0,4.0,"4-Cyl, 1.5 Liter",106.0,103.0,Gas,FWD,White,"Automatic, 4-Spd",4,5,VNKKTUD37FA041540,2001285889,2335.0,16770,1.5,automatic,-1.852759156092687,32.432432432432435
https://www.carvana.com/vehicle/2004169,2004169,Kia,Forte,18590,2018,Sedan,Available,28823,S Sedan 4D,2021-10-09 13:35:21,1925 Concord Pkwy S,Concord,NC,28027,29.0,37.0,4.0,"4-Cyl, 2.0 Liter",147.0,132.0,Gas,FWD,Red,"Automatic, 6-Spd w/Sportmatic",4,5,3KPFL4A71JE257729,2001284079,2976.0,20295,2.0,automatic,-2.882660162168693,32.12574850299401
https://www.carvana.com/vehicle/1967752,1967752,Jeep,Cherokee,22590,2017,SUV,Available,38927,Sport SUV 4D,2021-10-09 13:35:24,1925 Concord Pkwy S,Concord,NC,28027,21.0,28.0,4.0,"4-Cyl, 2.4 Liter",180.0,171.0,Gas,4WD,White,"Automatic, 9-Spd",4,5,1C4PJMAB1HW583500,2001248728,3655.0,25185,2.4,automatic,-2.6819117456824304,23.661971830985912
https://www.carvana.com/vehicle/2035944,2035944,Buick,Enclave,22990,2016,SUV,Available,85969,Leather Sport Utility 4D,2021-10-09 13:35:25,63 Pierce Rd,Winder,GA,30680,15.0,22.0,6.0,"V6, 3.6 Liter",288.0,270.0,Gas,FWD,Silver,"Auto, 6-Spd Overdrive",4,8,5GAKRBKD3GJ239090,2001312884,4724.0,44795,3.6,automatic,-12.489153250415718,17.50663129973475
https://www.carvana.com/vehicle/1872020,1872020,Hyundai,Tucson,20590,2018,SUV,Available,72718,SEL Sport Utility 4D,2021-10-09 13:35:28,1925 Concord Pkwy S,Concord,NC,28027,21.0,26.0,4.0,"4-Cyl, 2.0 Liter",,,Gas,AWD,Gray,"Auto, 6-Spd Shiftronic",4,5,KM8J3CA46JU752189,2001074938,3300.0,24780,,automatic,-5.987627031314846,22.989473684210527
https://www.carvana.com/vehicle/1986651,1986651,Kia,Rio,19590,2019,Hatchback,Available,51249,S Hatchback 4D,2021-10-09 13:35:31,1925 Concord Pkwy S,Concord,NC,28027,28.0,37.0,4.0,"4-Cyl, 1.6 Liter",,,Gas,FWD,Blue,"Automatic, 6-Spd w/Sportmatic",4,5,3KPA25AB7KE249370,2001133835,2714.0,17415,,automatic,6.0609416418060835,31.441578148710168
https://www.carvana.com/vehicle/1894572,1894572,Hyundai,Santa Fe,22590,2013,SUV,Available,49742,Limited Sport Utility 4D,2021-10-09 13:35:33,1123 Cantrell Sansom Rd,Blue Mound,TX,76131,18.0,24.0,6.0,"V6, GDI, 3.3 Liter",290.0,252.0,Gas,AWD,Black,"Auto, 6-Spd w/Shiftronic",4,6,KM8SRDHFXDU011984,2001152476,3869.0,33945,3.3,automatic,-4.963036411583865,20.28169014084507
https://www.carvana.com/vehicle/1866815,1866815,Hyundai,Sonata,20590,2016,Sedan,Available,39119,SE Sedan 4D,2021-10-09 13:35:37,1123 Cantrell Sansom Rd,Blue Mound,TX,76131,25.0,38.0,4.0,"4-Cyl, 2.4 Liter",,,Gas,FWD,White,"Auto, 6-Spd w/Shiftronic & Drive Mode Select",4,5,5NPE24AF9GH327892,2001091645,3250.0,22585,,automatic,-1.8326086691172083,29.548989113530325
https://www.carvana.com/vehicle/1967155,1967155,Nissan,Rogue Sport,21590,2017,SUV,Available,21781,SV Sport Utility 4D,2021-10-09 13:36:44,63 Pierce Rd,Winder,GA,30680,25.0,32.0,4.0,"4-Cyl, 2.0 Liter",141.0,147.0,Gas,FWD,Red,"Auto, CVT Xtronic",4,7,JN1BJ1CP7HW013294,2001240418,3380.0,25345,2.0,automatic,-3.929492103750931,27.72963604852686
https://www.carvana.com/vehicle/2004180,2004180,Toyota,Venza,18990,2013,Wagon,Available,86339,XLE Wagon 4D,2021-10-09 13:36:45,1925 Concord Pkwy S,Concord,NC,28027,19.0,26.0,6.0,"V6, 3.5 Liter",268.0,246.0,Gas,FWD,White,"Automatic, 6-Spd",4,5,4T3ZK3BB4DU062794,2001284584,4045.0,38170,3.5,automatic,-8.356777820362938,21.61925601750547
https://www.carvana.com/vehicle/2024330,2024330,Mazda,MAZDA3,23590,2017,Hatchback,Available,11703,Touring 2.5 Hatchback 4D,2021-10-09 13:36:48,1123 Cantrell Sansom Rd,Blue Mound,TX,76131,26.0,35.0,4.0,"4-Cyl, SKYACTIV-G, 2.5L",184.0,185.0,Gas,FWD,Gray,"Auto, 6-Spd SKYACTIV-Drv",4,5,3MZBN1L34HM132996,2001314012,3098.0,24720,2.5,automatic,-1.162928578379696,29.402261712439415
https://www.carvana.com/vehicle/2000557,2000557,Chevrolet,Equinox,17990,2014,SUV,Available,51081,LS Sport Utility 4D,2021-10-09 13:36:50,1420 Toshiba Dr,Lebanon,TN,37087,22.0,32.0,4.0,"4-Cyl, 2.4 Liter",182.0,172.0,Gas,FWD,Beige,"Automatic, 6-Spd",4,5,2GNALAEK3E6328210,2001288455,3777.0,25315,2.4,automatic,-4.762583783612118,25.6
https://www.carvana.com/vehicle/1929457,1929457,Buick,Verano,16990,2015,Sedan,Available,35216,Sedan 4D,2021-10-09 13:36:53,1925 Concord Pkwy S,Concord,NC,28027,21.0,32.0,4.0,"4-Cyl, ECOTEC, 2.4L",180.0,171.0,Gas,FWD,Silver,"Auto, 6-Spd w/Shft Ctrl",4,5,1G4PP5SK9F4168111,2001175804,3420.0,24605,2.4,automatic,-5.985465165485593,24.842883548983362
https://www.carvana.com/vehicle/1994619,1994619,Volkswagen,CC,19590,2016,Sedan,Available,66362,2.0T Sport Sedan 4D,2021-10-09 13:36:55,63 Pierce Rd,Winder,GA,30680,22.0,31.0,4.0,"4-Cyl, PZEV, 2.0T",200.0,207.0,Gas,FWD,White,Auto 6-Spd DSG Tptrnc Spt,4,5,WVWBP7AN4GE512560,2001270832,3369.0,35340,2.0,automatic,-11.130327818546792,25.30612244897959
https://www.carvana.com/vehicle/1993711,1993711,Mini,Hardtop 4 Door,20990,2016,Hatchback,Available,62539,Cooper S Hatchback 4D,2021-10-09 13:36:58,63 Pierce Rd,Winder,GA,30680,25.0,33.0,4.0,"4-Cyl, Turbo, 2.0 Liter",189.0,207.0,Gas,FWD,Black,"Automatic, 6-Spd",4,5,WMWXU3C55G2D30209,2001277527,2895.0,28450,2.0,automatic,-5.900777822793401,28.061224489795915
https://www.carvana.com/vehicle/2032372,2032372,Jeep,Renegade,22990,2018,SUV,Available,28749,Latitude Sport Utility 4D,2021-10-09 13:37:00,63 Pierce Rd,Winder,GA,30680,21.0,29.0,4.0,"4-Cyl, MultiAir, 2.4L",180.0,175.0,Gas,4WD,White,"Automatic, 9-Spd",4,5,ZACCJABB9JPH47865,2001320281,3327.0,24440,2.4,automatic,-2.018085001225156,23.976377952755904
https://www.carvana.com/vehicle/1899110,1899110,Toyota,Venza,16990,2013,Wagon,Available,99905,LE Wagon 4D,2021-10-09 13:37:03,1925 Concord Pkwy S,Concord,NC,28027,20.0,26.0,4.0,"4-Cyl, 2.7 Liter",,,Gas,FWD,White,"Automatic, 6-Spd",4,5,4T3ZA3BB1DU074761,2001163813,3760.0,28510,2.7,automatic,-6.265488542374486,22.3175965665236
https://www.carvana.com/vehicle/1993848,1993848,Mazda,MAZDA3,20990,2018,Sedan,Available,17003,Sport Sedan 4D,2021-10-09 13:37:05,1123 Cantrell Sansom Rd,Blue Mound,TX,76131,28.0,37.0,4.0,"4-Cyl, SKYACTIV-G, 2.0L",155.0,150.0,Gas,FWD,Silver,"Auto, 6-Spd SKYACTIV-Drv",4,5,3MZBN1U77JM240830,2001278470,2967.0,20020,2.0,automatic,1.5896479099671623,31.441578148710168
https://www.carvana.com/vehicle/1994492,1994492,Lincoln,MKZ,21990,2013,Sedan,Available,20822,Sedan 4D,2021-10-09 13:37:08,1123 Cantrell Sansom Rd,Blue Mound,TX,76131,22.0,33.0,4.0,"4-Cyl, EcoBoost, 2.0L",,,Gas,FWD,White,"Auto, 6-Spd w/SelShft",4,5,3LN6L2G93DR804408,2001282485,,36800,2.0,automatic,-6.233614249935426,25.88235294117647
https://www.carvana.com/vehicle/1878808,1878808,Hyundai,Sonata,16590,2016,Sedan,Available,79944,SE Sedan 4D,2021-10-09 13:37:10,63 Pierce Rd,Winder,GA,30680,25.0,38.0,4.0,"4-Cyl, 2.4 Liter",,,Gas,FWD,Silver,"Auto, 6-Spd w/Shiftronic & Drive Mode Select",4,5,5NPE24AF0GH269669,2001061877,3250.0,22585,,automatic,-5.983244817599109,29.548989113530325
https://www.carvana.com/vehicle/2004314,2004314,Bmw,3 Series,20990,2015,Sedan,Available,38233,320i Sedan 4D,2021-10-09 13:37:13,1123 Cantrell Sansom Rd,Blue Mound,TX,76131,24.0,36.0,4.0,"4-Cyl, Turbo, 2.0 Liter",180.0,200.0,Gas,RWD,Black,"Auto, 8-Spd Steptronic",4,5,WBA3B1C59FK135735,2001293092,3340.0,34345,2.0,automatic,-7.879104092097345,28.235294117647058
https://www.carvana.com/vehicle/2004124,2004124,Nissan,370Z,23990,2010,Coupe,Available,67816,Touring Coupe 2D,2021-10-09 13:37:15,1925 Concord Pkwy S,Concord,NC,28027,19.0,26.0,6.0,"V6, 3.7 Liter",,,Gas,RWD,Gray,"Auto, 7-Spd Manual Mode",2,2,JN1AZ4EH8AM503336,2001284155,3314.0,37130,3.7,automatic,-3.8929986084229595,21.61925601750547
